Name;Phases;From;To;I_1;I_Angle_1;I_2;I_Angle_2;I_3;I_Angle_3;V_1;V_Angle_1;V_2;V_Angle_2;V_3;V_Angle_3
Transformer.reg1;1;650.1;rg60.1;609,0485937390803;-32,659711521844265;0,0;0,0;0,0;0,0;2314,982080971996;-3,5236092004122024;0,0;0,0;0,0;0,0
Transformer.reg2;1;650.2;rg60.2;0,0;0,0;445,8810152763918;-144,81809912353214;0,0;0,0;0,0;0,0;2352,5869748164146;-122,73796410076642;0,0;0,0
Transformer.reg3;1;650.3;rg60.3;0,0;0,0;0,0;0,0;640,0004602758132;89,32103818519047;0,0;0,0;0,0;0,0;2316,2807245471404;116,21734296957769
Transformer.xfm1;3;633.1.2.3;634.1.2.3;84,87231521739832;-41,48753350654369;62,498146783238006;-161,93638457683662;65,36116032136938;76,56299715487981;2347,779567942147;-6,244266036144712;2445,1392640785516;-124,58996634460527;2342,0492250404964;113,95315723829671
Line.650632;3;rg60.1.2.3;632.1.2.3;573,2218792975085;-32,659652959334714;424,64832991243674;-144,81801394856473;598,8305363170517;89,32109547497905;2459,3641083382663;-3,525624167221154;2470,0054847214624;-122,74003205217225;2475,2071423853426;116,21493736362935
Line.632670;3;632.1.2.3;670.1.2.3;489,52893409473484;-31,13513371006184;222,4355317039088;-139,14779735820517;485,76973068131525;95,34933517950667;2355,420454036039;-6,172716875433061;2449,7055782970033;-124,5418048925365;2348,6211404008295;113,9558486972025
Line.670671;3;670.1.2.3;671.1.2.3;481,1187135922426;-31,021490241846983;192,75068762684998;-136,67654541215276;428,7798751726046;97,00639373080499;2329,8453637565194;-7,144515969874866;2456,746233768159;-124,76855164132046;2313,2911827920843;113,2770043922265
Line.671680;3;671.1.2.3;680.1.2.3;0,0005521779451867157;82,17740834942926;0,0005901326316137854;-35,83523666920176;0,0005582910890661522;-158,47593401776862;2277,367118680933;-9,157650435888712;2476,9109484170767;-125,2146498535676;2252,59022982893;112,13762958439956
Line.632633;3;632.1.2.3;633.1.2.3;84,87214829096882;-41,4873773799353;62,49796902737033;-161,93616896582148;65,36098688287453;76,56319774338353;2355,420454036039;-6,172716875433061;2449,7055782970033;-124,5418048925365;2348,6211404008295;113,9558486972025
Line.632645;2;632.3.2;645.3.2;0,0;0,0;143,6169790323325;-146,24737322927336;63,57883868195427;54,194684059326896;0,0;0,0;2449,7055782970033;-124,5418048925365;2348,6211404008295;113,9558486972025
Line.645646;2;645.3.2;646.3.2;0,0;0,0;63,579135707321925;-125,8054164245718;63,57904241130623;54,19453059327299;0,0;0,0;2427,4482866609583;-124,7211669994495;2344,1804402575767;113,98188285908113
Line.692675;3;692.1.2.3;675.1.2.3;210,81286844641258;-10,538748551628078;67,72156658687294;-59,257260811651165;125,94712221176228;105,97652928769244;2277,3670958089397;-9,15765029337343;2476,910945657992;-125,21464999662999;2252,5902119673437;112,137629647858
Line.671684;2;671.1.3;684.1.3;60,490982454578706;-42,97844481014722;0,0;0,0;69,89270367219402;116,95861724335099;2277,367118680933;-9,157650435888712;0,0;0,0;2252,59022982893;112,13762958439956
Line.684611;1;684.3;611.3;0,0;0,0;0,0;0,0;69,8927158268224;116,95849287781256;0,0;0,0;0,0;0,0;2247,7630514054995;112,03454471179376
Line.684652;1;684.1;652.1;60,49104618954363;-42,978577039025126;0,0;0,0;0,0;0,0;2272,9479537793236;-9,181097949871457;0,0;0,0;0,0;0,0
Line.671692;3;671.1.2.3;692.1.2.3;235,63025098541775;-23,06800750788103;67,72156537858542;-59,25726057472699;180,3498451952066;104,18609805649491;2277,367118680933;-9,157650435888712;2476,9109484170767;-125,2146498535676;2252,59022982893;112,13762958439956
