Id;Element;Bus;Phases;RTC;Ip_ph(P);Ip_ph(S);Ip_n(P);Ip_n(S);Isc_max(P);Isc_max(S);TMS
R1;Transformer.reg1;['650', 'rg60'];['1'];80,0;720,0;9,0;80,0;1,0;8646,466699524135;108,08083374405169;0,22789725352267737
R1;Transformer.reg2;['650', 'rg60'];['2'];80,0;720,0;9,0;80,0;1,0;8646,466699524135;108,08083374405169;0,22789725352267737
R1;Transformer.reg3;['650', 'rg60'];['3'];80,0;720,0;9,0;80,0;1,0;8646,466699524135;108,08083374405169;0,22789725352267737
R2;Line.650632;['rg60', '632'];['1', '2', '3'];80,0;680,0;8,5;80,0;1,0;4834,306344411961;60,428829305149506;0,17825328160932047
R3;Line.632670;['632', '670'];['1', '2', '3'];80,0;560,0;7,0;40,0;0,5;4246,837278406221;53,085465980077764;0,15166116748888303
R4;Line.632633;['632', '633'];['1', '2', '3'];40,0;80,0;2,0;20,0;0,5;4183,384098580881;104,58460246452202;0,13714871738277734
R5;Line.632645;['632', '645'];['3', '2'];40,0;220,0;5,5;20,0;0,5;3542,336472424956;88,5584118106239;0,11032616364576678
R6;Transformer.xfm1;['633', '634'];['1', '2', '3'];20,0;80,0;4,0;10,0;0,5;1785,784834521714;89,28924172608569;0,050136162211924
R7;Line.645646;['645', '646'];['3', '2'];30,0;105,0;3,5;15,0;0,5;3176,174126326282;105,87247087754274;0,05013732486727596
R8;Line.670671;['670', '671'];['1', '2', '3'];80,0;560,0;7,0;40,0;0,5;3413,0436680324997;42,66304585040625;0,11015000217530474
R9;Line.671680;['671', '680'];['1', '2', '3'];30,0;15,0;0,5;15,0;0,5;2941,937317635788;98,06457725452627;0,05022195595265058
R10;Line.671684;['671', '684'];['1', '3'];30,0;120,0;4,0;15,0;0,5;2676,3790802649874;89,21263600883292;0,12869184689507043
R11;Line.671692;['671', '692'];['1', '2', '3'];30,0;180,0;6,0;15,0;0,5;3413,0132188712155;113,76710729570718;0,1230089461281879
R12;Line.692675;['692', '675'];['1', '2', '3'];30,0;180,0;6,0;15,0;0,5;3172,025487338214;105,7341829112738;0,05008358365508667
R13;Line.684611;['684', '611'];['3'];20,0;110,0;5,5;10,0;0,5;1824,3179529765112;91,21589764882556;0,0502505236513737
R14;Line.684652;['684', '652'];['1'];20,0;100,0;5,0;10,0;0,5;1810,191463916762;90,5095731958381;0,05007573611328945
