Name;Phases;From;To;I_1;I_Angle_1;I_2;I_Angle_2;I_3;I_Angle_3;V_1;V_Angle_1;V_2;V_Angle_2;V_3;V_Angle_3
Line.l1;3;800.1.2.3;802.1.2.3;44,11124435521566;-14,450754814940083;40,445988862426645;-129,22665881910044;35,523733547235615;115,5591210912468;15094,730441667045;-0,0008508396852140942;15094,74255761521;-120,0007700638762;15094,766233835668;119,99923877529126
Line.l2;3;802.1.2.3;806.1.2.3;44,12670265127661;-14,510780412467117;39,386886470049646;-128,80937552056486;34,66885815140389;116,15032115949043;15062,871125986032;-0,03808063219765315;15073,28984436039;-120,06091048432941;15075,373877098058;119,95641563119841
Line.l3;3;806.1.2.3;808.1.2.3;44,13706086971477;-14,550950343398924;38,32897031684961;-128,3448314104813;33,815771809287945;116,79601532336463;15041,395414602775;-0,06366362157180866;15059,576557308736;-120,10100723409688;15062,758624818804;119,92855950090954
Line.l4;1;808.2;810.2;0,0;0,0;0,5976310873187006;-142,2338464456499;0,0;0,0;0,0;0,0;14816,71446721152;-120,84773330239044;0,0;0,0
Line.l5;3;808.1.2.3;812.1.2.3;44,32889168292838;-15,287678530869476;37,16726539683992;-128,67158489867586;33,87467680172776;115,92135679087508;14638,24576241115;-0,5569952922809844;14816,71446721152;-120,84773330239044;14834,082777952945;119,4249128370386
Line.l6;3;812.1.2.3;814.1.2.3;44,54894580893749;-16,11742740852812;37,17766732879968;-129,66983552634608;33,9447774643953;114,92485320848958;14168,163623132174;-1,1671420579371086;14549,709869992623;-121,7039951030905;14561,509346767167;118,84170903959401
Line.l33;3;814.1.2.3;814r.1.2.3;44,720584602112226;-16,75461853538901;37,18840408512929;-130,4467851653246;34,001242355821944;114,15102339886623;13793,796959605905;-1,665216775361332;14338,202836801041;-122,39064757311257;14343,640339493297;118,37676663385278
Line.l7;3;814r.1.2.3;850.1.2.3;44,72058460215796;-16,75461853504402;37,18840408609243;-130,4467851654194;34,00124235529374;114,15102339987041;13658,639406966047;-1,823163717288152;14230,516980867758;-122,57119604452589;14248,157016719837;118,18579808528541
Line.l8;1;816.1;818.1;13,648460259964626;-26,595695242909997;0,0;0,0;0,0;0,0;13653,059459889677;-1,8271744984357565;0,0;0,0;0,0;0,0
Line.l9;3;816.1.2.3;824.1.2.3;31,36116739091423;-12,498015219109664;37,08485059882127;-130,50205440772152;33,929709788702375;114,279093199401;13653,059459889677;-1,8271744984357565;14227,00710491993;-122,57820737148936;14244,64741054812;118,18117311118147
Line.l10;1;818.1;820.1;12,402589684475721;-26,4920319950759;0,0;0,0;0,0;0,0;13639,067925186475;-1,8304068086392016;0,0;0,0;0,0;0,0
Line.l11;1;820.1;822.1;5,6809606602546445;-27,997194806011443;0,0;0,0;0,0;0,0;13277,658679330534;-1,890235323298615;0,0;0,0;0,0;0,0
Line.l12;1;824.2;826.2;0,0;0,0;1,5404342323412714;-148,21263219575667;0,0;0,0;0,0;0,0;14097,784846697929;-122,7842856955791;0,0;0,0
Line.l13;3;824.1.2.3;828.1.2.3;31,403752746512374;-12,794775460505068;34,054513882985944;-129,19291784465514;33,72933292221153;114,2680899828192;13536,760908763243;-1,9022976215554726;14097,784846697929;-122,7842856955791;14136,559762820827;117,96851790479012
Line.l14;3;828.1.2.3;830.1.2.3;31,132283220456014;-12,708784133284183;34,05451529203114;-129,2153325387196;33,58492615450306;114,3522735113424;13527,245029129357;-1,9098060282015512;14088,338240830795;-122,80039802462898;14127,488339358584;117,95134936520417
Line.l15;3;830.1.2.3;854.1.2.3;29,76699494214872;-12,089627766517895;33,35010099742652;-129,33941533931238;32,35801759387499;114,10785739568117;13297,344481845545;-2,087951063265266;13857,74386027834;-123,19539498375428;13908,149708025137;117,52926261964572
Line.l16;3;832.1.2.3;858.1.2.3;19,870404494624438;-3,1238409416847013;23,044695759336;-120,36254867042497;23,079399402784894;125,48489878604076;12816,19408564167;-2,553975594299037;13358,451201772943;-124,07598838477386;13438,08690456737;116,57175060019067
Line.l17;3;834.1.2.3;860.1.2.3;8,777179353824089;-38,98004458091985;8,961184381822042;-155,61891227007789;8,05515060206743;94,28435311727526;12745,177668047276;-2,664702088786214;13281,804831720492;-124,28304520635068;13371,98330301212;116,3331487851041
Line.l18;3;834.1.2.3;842.1.2.3;12,870599873600332;32,378824910080716;15,278278055164266;-99,28098316866956;13,904555973977873;148,55880937635925;12745,177668047276;-2,664702088786214;13281,804831720492;-124,28304520635068;13371,98330301212;116,3331487851041
Line.l19;3;836.1.2.3;840.1.2.3;1,1229773558965437;-26,30808834166016;1,5565590173213812;-154,0284974660525;1,2617617819519307;71,59095991706822;12735,566121312457;-2,6526895496243146;13269,568903114048;-124,28474451752257;13364,45777200945;116,33066085961332
Line.l20;3;836.1.2.3;862.1.2.3;0,004320193786531025;91,03301046701571;2,3346911007982087;-149,58473163149142;0,0038596841921497457;-150,83929944564778;12735,566121312457;-2,6526895496243146;13269,568903114048;-124,28474451752257;13364,45777200945;116,33066085961332
