Id;Element;Bus;Phases;RTC;Ip_ph(P);Ip_ph(S);Ip_n(P);Ip_n(S);Isc_max(P);Isc_max(S);TMS
R1;Line.l1;['800', '802'];['1', '2', '3'];240,0;120,0;0,5;120,0;0,5;23016,793698954712;95,90330707897797;0,8194144384961365
R2;Line.l2;['802', '806'];['1', '2', '3'];120,0;120,0;1,0;60,0;0,5;13813,509811169502;115,11258175974585;0,6855710523788725
R3;Line.l3;['806', '808'];['1', '2', '3'];15,0;67,5;4,5;7,5;0,5;1634,603589895479;108,9735726596986;0,7769482029189422
R4;Line.l4;['808', '810'];['2'];10,0;5,0;0,5;5,0;0,5;910,5083817708489;91,0508381770849;0,05047450203054622
R5;Line.l5;['808', '812'];['1', '2', '3'];8,0;68,0;8,5;8,0;1,0;806,6299471999852;100,82874339999815;0,7102415881231209
R6;Line.l6;['812', '814'];['1', '2', '3'];8,0;68,0;8,5;8,0;1,0;575,5520802962959;71,94401003703699;0,6572407054687318
R7;Line.l33;['814', '814r'];['1', '2', '3'];8,0;68,0;8,5;8,0;1,0;514,720929905495;64,34011623818688;0,604379819248823
R8;Line.l7;['814r', '850'];['1', '2', '3'];8,0;68,0;8,5;8,0;1,0;514,6614425521134;64,33268031901417;0,5544000502375129
R9;Line.l24;['850', '816'];['1', '2', '3'];8,0;68,0;8,5;8,0;1,0;512,824026367272;64,103003295909;0,5037302463993735
R10;Line.l9;['816', '824'];['1', '2', '3'];8,0;56,0;7,0;4,0;0,5;458,7784553881837;57,347306923522964;0,5089918150168448
R11;Line.l8;['816', '818'];['1'];3,0;21,0;7,0;1,5;0,5;354,7643947465556;118,25479824885186;0,17092149204808496
R12;Line.l10;['818', '820'];['1'];2,0;19,0;9,5;2,0;1,0;206,81267988419904;103,40633994209952;0,10492210351489581
R13;Line.l12;['824', '826'];['2'];3,0;3,0;1,0;1,5;0,5;318,4410260796188;106,14700869320626;0,0504027808910433
R14;Line.l13;['824', '828'];['1', '2', '3'];8,0;52,0;6,5;4,0;0,5;454,8036497239504;56,8504562154938;0,4744731450915671
R15;Line.l14;['828', '830'];['1', '2', '3'];8,0;52,0;6,5;4,0;0,5;375,41896996824744;46,92737124603093;0,4244441205537996
R16;Line.l15;['830', '854'];['1', '2', '3'];8,0;52,0;6,5;4,0;0,5;373,7640886048137;46,72051107560171;0,37428308006056127
R17;Line.l27;['854', '852'];['1', '2', '3'];8,0;52,0;6,5;4,0;0,5;284,2800192814706;35,53500241018382;0,3330803206570787
R18;Line.l26;['854', '856'];['2'];2,0;1,0;0,5;1,0;0,5;213,20539507564266;106,60269753782133;0,05041724559682339
R19;Line.l11;['820', '822'];['1'];2,0;9,0;4,5;1,0;0,5;184,1141239015466;92,0570619507733;0,05040761836949985
R20;Line.l34;['852', '852r'];['1', '2', '3'];8,0;52,0;6,5;4,0;0,5;269,49053708754207;33,68631713594276;0,2931077874096996
R21;Line.l25;['852r', '832'];['1', '2', '3'];8,0;52,0;6,5;4,0;0,5;269,4739150199871;33,684239377498386;0,2520262548002823
R22;Transformer.xfm1;['832', '888'];['1', '2', '3'];2,0;17,0;8,5;2,0;1,0;136,5379403653756;68,2689701826878;0,08478150235014827
R23;Line.l32;['888', '890'];['1', '2', '3'];15,0;105,0;7,0;7,5;0,5;420,34918183526435;28,023278789017624;0,05015992654516604
R24;Line.l16;['832', '858'];['1', '2', '3'];5,0;35,0;7,0;2,5;0,5;261,25496977875315;52,25099395575063;0,27417104297875783
R25;Line.l28;['858', '864'];['1'];2,0;1,0;0,5;1,0;0,5;180,889513971351;90,4447569856755;0,05063296152466828
R26;Line.l29;['858', '834'];['1', '2', '3'];5,0;35,0;7,0;2,5;0,5;252,09217273194773;50,41843454638955;0,22236103200918073
R27;Line.l18;['834', '842'];['1', '2', '3'];3,0;24,0;8,0;3,0;1,0;251,65269741851458;83,88423247283819;0,21236743783767387
R28;Line.l17;['834', '860'];['1', '2', '3'];2,0;14,0;7,0;1,0;0,5;248,94480351850623;124,47240175925312;0,25167596743424175
R29;Line.l21;['842', '844'];['1', '2', '3'];3,0;24,0;8,0;3,0;1,0;249,55233371925297;83,18411123975099;0,1537960341008307
R30;Line.l22;['844', '846'];['1', '2', '3'];2,0;13,0;6,5;1,0;0,5;243,86255671940611;121,93127835970306;0,12667497777331696
R31;Line.l30;['860', '836'];['1', '2', '3'];2,0;9,0;4,5;1,0;0,5;244,83759392560037;122,41879696280019;0,20843049600871713
R32;Line.l20;['836', '862'];['1', '2', '3'];2,0;4,0;2,0;1,0;0,5;244,41130029107725;122,20565014553863;0,15476218808647
R33;Line.l19;['836', '840'];['1', '2', '3'];2,0;3,0;1,5;1,0;0,5;243,52971409023652;121,76485704511826;0,050811985414895955
R34;Line.l31;['862', '838'];['2'];2,0;2,0;1,0;1,0;0,5;173,92955972313152;86,96477986156576;0,05043334098490638
R35;Line.l23;['846', '848'];['1', '2', '3'];2,0;13,0;6,5;1,0;0,5;243,05019078531947;121,52509539265974;0,050568813435667076
