Name;Phases;From;To;I_1;I_Angle_1;I_2;I_Angle_2;I_3;I_Angle_3;V_1;V_Angle_1;V_2;V_Angle_2;V_3;V_Angle_3
Transformer.xfm1;3;709.1.2.3;775.1.2.3;2,8200704563390463e-05;-87,32363732555837;3,176065625234194e-05;152,3205480925194;2,998030393772385e-05;26,58445977670425;1949,2264230283324;2,6773847675649596;2195,269625896437;-117,68005171494556;2072,2728499149616;116,58422825388924
Line.l0;3;799.1.2.3;799r.1.2.3;196,27406451818592;-47,29508292392064;139,14045976200043;-169,09937137254482;170,58174155448407;88,82016737862023;2640,979106419037;-1,551057336892541;2677,4820765403283;-121,03055808301397;2681,0621167217964;118,05375067489766
Line.l1;3;701.1.2.3;702.1.2.3;120,52830811386515;-52,2753792012494;97,05371185525296;178,74454612703988;96,07082564107928;75,97449206796475;1980,2657537875211;2,567475027198226;2214,4122408670373;-117,98427023132396;2090,2850264138365;116,72566211041962
Line.l2;3;702.1.2.3;705.1.2.3;15,40418614737357;-51,76899033459518;16,34196628396488;-120,69005266479951;26,18058752140984;92,6091257852961;1970,142164222033;2,632430799549561;2207,4082933370833;-117,92916260905099;2081,658942114596;116,68234237068249
Line.l3;3;702.1.2.3;713.1.2.3;26,343620373903843;-86,37324481107258;24,72560584782079;-153,27237873607683;42,621123598653334;61,36568396230954;1970,142164222033;2,632430799549561;2207,4082933370833;-117,92916260905099;2081,658942114596;116,68234237068249
Line.l4;3;702.1.2.3;703.1.2.3;84,61770938248705;-42,335753846392244;72,0345758693499;157,70856686157146;29,947777685658366;82,1438683401146;1970,142164222033;2,632430799549561;2207,4082933370833;-117,92916260905099;2081,658942114596;116,68234237068249
Line.l5;3;703.1.2.3;727.1.2.3;11,32329631350362;-106,56827467697163;25,57706340714582;111,5728505391101;18,080811156181387;-45,65509312234456;1960,3823446839676;2,634231383985459;2201,521041899678;-117,80957080318738;2077,7629859741414;116,63928959609046
Line.l6;3;703.1.2.3;730.1.2.3;80,38339935284039;-35,07954801448124;57,420358386106614;176,43392825994255;43,46324433714022;101,2580033138212;1960,3823446839676;2,634231383985459;2201,521041899678;-117,80957080318738;2077,7629859741414;116,63928959609046
Line.l7;3;704.1.2.3;714.1.2.3;16,688684880260322;175,8582670181226;27,59501468202131;93,41780987421672;34,082232001850436;-57,52930461673652;1969,0804305724369;2,726784221372418;2203,663035073336;-117,91544773328746;2076,613100079667;116,78051090729124
Line.l8;3;704.1.2.3;720.1.2.3;18,28209166203663;-56,233862754606584;43,73576707224348;-117,89659908709407;54,82799382470576;79,17027693981049;1969,0804305724369;2,726784221372418;2203,663035073336;-117,91544773328746;2076,613100079667;116,78051090729124
